"name","tag","taskId","timeCreate","timeStart","timeFinish","timeWait","timeBuild","timeTotal"
"devspaces-idea-rhel8","3.3-4",47937263,"Sun Sep 25 07:36:25 2022","Sun Sep 25 07:36:26 2022","Sun Sep 25 07:49:52 2022","0 mins","13 mins","13 mins"
"devspaces-theia-dev-rhel8","3.3-10",48063133,"Sun Oct 2 07:28:13 2022","Sun Oct 2 07:28:42 2022","Sun Oct 2 07:36:42 2022","0 mins","8 mins","8 mins"
"devspaces-theia-rhel8","3.3-9",48063529,"Sun Oct 2 08:27:45 2022","Sun Oct 2 08:27:48 2022","Sun Oct 2 08:55:46 2022","0 mins","27 mins","28 mins"
"devspaces-theia-endpoint-rhel8","3.3-8",48063627,"Sun Oct 2 09:03:19 2022","Sun Oct 2 09:03:28 2022","Sun Oct 2 09:09:10 2022","0 mins","5 mins","5 mins"
"devspaces-imagepuller-rhel8","3.3-11",48206469,"Sun Oct 9 05:58:26 2022","Sun Oct 9 05:59:05 2022","Sun Oct 9 06:07:17 2022","0 mins","8 mins","8 mins"
"devspaces-devfileregistry-rhel8","3.3-20",48206477,"Sun Oct 9 06:04:11 2022","Sun Oct 9 06:04:22 2022","Sun Oct 9 06:09:09 2022","0 mins","4 mins","4 mins"
"devspaces-udi-rhel8","3.3-18",48206505,"Sun Oct 9 06:39:36 2022","Sun Oct 9 06:39:57 2022","Sun Oct 9 07:17:00 2022","0 mins","37 mins","37 mins"
"devspaces-traefik-rhel8","3.3-12",48206506,"Sun Oct 9 06:44:10 2022","Sun Oct 9 06:44:27 2022","Sun Oct 9 07:06:21 2022","0 mins","21 mins","22 mins"
"devspaces-code-rhel8","3.3-6",48214719,"Tue Oct 11 08:01:54 2022","Tue Oct 11 16:45:52 2022","Tue Oct 11 16:52:37 2022","523 mins","6 mins","530 mins"
"devspaces-configbump-rhel8","3.3-11",48245819,"Wed Oct 12 09:18:24 2022","Wed Oct 12 09:20:15 2022","Wed Oct 12 09:29:16 2022","1 mins","9 mins","10 mins"
"devspaces-machineexec-rhel8","3.3-14",48246317,"Wed Oct 12 09:28:21 2022","Wed Oct 12 09:33:08 2022","Wed Oct 12 09:40:37 2022","4 mins","7 mins","12 mins"
"devspaces-dashboard-rhel8","3.3-38",48250178,"Wed Oct 12 11:18:05 2022","Wed Oct 12 13:23:47 2022","Wed Oct 12 13:50:39 2022","125 mins","26 mins","152 mins"
"devspaces-server-rhel8","3.3-26",48251185,"Wed Oct 12 11:55:20 2022","Wed Oct 12 13:40:51 2022","Wed Oct 12 13:46:45 2022","105 mins","5 mins","111 mins"
